scene_id	family	gen_prompt	train_prompt	expected_count	subject_type	gate
kitchen_cards_trio	static	Three friends in their thirties — a Black woman with long box braids, a slim South Asian man in glasses, and a stocky white man with a beard seated around a wooden table in a sunlit kitchen, playing cards spread between them. Eye-level long take. Midway through the shot, the three friends turn their faces toward the viewer and warmly wave hello with bright smiles. These are the only people in the scene; the surroundings are open and calm. They hold a relaxed photo pose, bodies settled and steady, gesturing with their hands. Photoreal, natural lighting.	Three friends in their thirties — a Black woman with long box braids, a slim South Asian man in glasses, and a stocky white man with a beard seated around a wooden table in a sunlit kitchen, playing cards spread between them. Eye-level long take. Midway through the shot, the three friends turn their faces toward the viewer and warmly wave hello with bright smiles. These are the only people in the scene; the surroundings are open and calm. They hold a relaxed photo pose, bodies settled and steady, gesturing with their hands. Photoreal, natural lighting.	3	human	person
kitchen_cards_trio	pan_left	Three friends in their thirties — a Black woman with long box braids, a slim South Asian man in glasses, and a stocky white man with a beard seated around a wooden table in a sunlit kitchen, playing cards spread between them. Eye-level long take with a panning sweep from right to left. Midway through the shot, the three friends turn their faces toward the viewer and warmly wave hello with bright smiles. These are the only people in the scene; the surroundings are open and calm. They hold a relaxed photo pose, bodies settled and steady, gesturing with their hands. Photoreal, natural lighting.	Three friends in their thirties — a Black woman with long box braids, a slim South Asian man in glasses, and a stocky white man with a beard seated around a wooden table in a sunlit kitchen, playing cards spread between them. Eye-level long take. Midway through the shot, the three friends turn their faces toward the viewer and warmly wave hello with bright smiles. These are the only people in the scene; the surroundings are open and calm. They hold a relaxed photo pose, bodies settled and steady, gesturing with their hands. Photoreal, natural lighting.	3	human	person
kitchen_cards_trio	pan_right	Three friends in their thirties — a Black woman with long box braids, a slim South Asian man in glasses, and a stocky white man with a beard seated around a wooden table in a sunlit kitchen, playing cards spread between them. Eye-level long take with a panning sweep from left to right. Midway through the shot, the three friends turn their faces toward the viewer and warmly wave hello with bright smiles. These are the only people in the scene; the surroundings are open and calm. They hold a relaxed photo pose, bodies settled and steady, gesturing with their hands. Photoreal, natural lighting.	Three friends in their thirties — a Black woman with long box braids, a slim South Asian man in glasses, and a stocky white man with a beard seated around a wooden table in a sunlit kitchen, playing cards spread between them. Eye-level long take. Midway through the shot, the three friends turn their faces toward the viewer and warmly wave hello with bright smiles. These are the only people in the scene; the surroundings are open and calm. They hold a relaxed photo pose, bodies settled and steady, gesturing with their hands. Photoreal, natural lighting.	3	human	person
kitchen_cards_trio	dolly	Three friends in their thirties — a Black woman with long box braids, a slim South Asian man in glasses, and a stocky white man with a beard seated around a wooden table in a sunlit kitchen, playing cards spread between them. Eye-level long take with a forward dolly, advancing through the scene toward the subject. Midway through the shot, the three friends turn their faces toward the viewer and warmly wave hello with bright smiles. These are the only people in the scene; the surroundings are open and calm. They hold a relaxed photo pose, bodies settled and steady, gesturing with their hands. Photoreal, natural lighting.	Three friends in their thirties — a Black woman with long box braids, a slim South Asian man in glasses, and a stocky white man with a beard seated around a wooden table in a sunlit kitchen, playing cards spread between them. Eye-level long take. Midway through the shot, the three friends turn their faces toward the viewer and warmly wave hello with bright smiles. These are the only people in the scene; the surroundings are open and calm. They hold a relaxed photo pose, bodies settled and steady, gesturing with their hands. Photoreal, natural lighting.	3	human	person
kitchen_cards_trio	orbit_left	Three friends in their thirties — a Black woman with long box braids, a slim South Asian man in glasses, and a stocky white man with a beard seated around a wooden table in a sunlit kitchen, playing cards spread between them. Eye-level long take with a side arc moving to the left around the subject. Midway through the shot, the three friends turn their faces toward the viewer and warmly wave hello with bright smiles. These are the only people in the scene; the surroundings are open and calm. They hold a relaxed photo pose, bodies settled and steady, gesturing with their hands. Photoreal, natural lighting.	Three friends in their thirties — a Black woman with long box braids, a slim South Asian man in glasses, and a stocky white man with a beard seated around a wooden table in a sunlit kitchen, playing cards spread between them. Eye-level long take. Midway through the shot, the three friends turn their faces toward the viewer and warmly wave hello with bright smiles. These are the only people in the scene; the surroundings are open and calm. They hold a relaxed photo pose, bodies settled and steady, gesturing with their hands. Photoreal, natural lighting.	3	human	person
kitchen_cards_trio	orbit_right	Three friends in their thirties — a Black woman with long box braids, a slim South Asian man in glasses, and a stocky white man with a beard seated around a wooden table in a sunlit kitchen, playing cards spread between them. Eye-level long take with a side arc moving to the right around the subject. Midway through the shot, the three friends turn their faces toward the viewer and warmly wave hello with bright smiles. These are the only people in the scene; the surroundings are open and calm. They hold a relaxed photo pose, bodies settled and steady, gesturing with their hands. Photoreal, natural lighting.	Three friends in their thirties — a Black woman with long box braids, a slim South Asian man in glasses, and a stocky white man with a beard seated around a wooden table in a sunlit kitchen, playing cards spread between them. Eye-level long take. Midway through the shot, the three friends turn their faces toward the viewer and warmly wave hello with bright smiles. These are the only people in the scene; the surroundings are open and calm. They hold a relaxed photo pose, bodies settled and steady, gesturing with their hands. Photoreal, natural lighting.	3	human	person
street_skaters_trio	static	Three young skateboarders — a freckled boy, a Latino boy in a beanie, and a girl with green-dyed hair sitting close together on a low curb on a quiet, empty graffiti-painted street corner, skateboards across their laps. Eye-level long take. Midway through the shot, the three skaters turn to the viewer and flash a peace sign with grins. These are the only people in the scene; the surroundings are open and calm. They hold a relaxed photo pose, bodies settled and steady, gesturing with their hands. Photoreal, natural lighting.	Three young skateboarders — a freckled boy, a Latino boy in a beanie, and a girl with green-dyed hair sitting close together on a low curb on a quiet, empty graffiti-painted street corner, skateboards across their laps. Eye-level long take. Midway through the shot, the three skaters turn to the viewer and flash a peace sign with grins. These are the only people in the scene; the surroundings are open and calm. They hold a relaxed photo pose, bodies settled and steady, gesturing with their hands. Photoreal, natural lighting.	3	human	person
street_skaters_trio	pan_left	Three young skateboarders — a freckled boy, a Latino boy in a beanie, and a girl with green-dyed hair sitting close together on a low curb on a quiet, empty graffiti-painted street corner, skateboards across their laps. Eye-level long take with a panning sweep from right to left. Midway through the shot, the three skaters turn to the viewer and flash a peace sign with grins. These are the only people in the scene; the surroundings are open and calm. They hold a relaxed photo pose, bodies settled and steady, gesturing with their hands. Photoreal, natural lighting.	Three young skateboarders — a freckled boy, a Latino boy in a beanie, and a girl with green-dyed hair sitting close together on a low curb on a quiet, empty graffiti-painted street corner, skateboards across their laps. Eye-level long take. Midway through the shot, the three skaters turn to the viewer and flash a peace sign with grins. These are the only people in the scene; the surroundings are open and calm. They hold a relaxed photo pose, bodies settled and steady, gesturing with their hands. Photoreal, natural lighting.	3	human	person
street_skaters_trio	pan_right	Three young skateboarders — a freckled boy, a Latino boy in a beanie, and a girl with green-dyed hair sitting close together on a low curb on a quiet, empty graffiti-painted street corner, skateboards across their laps. Eye-level long take with a panning sweep from left to right. Midway through the shot, the three skaters turn to the viewer and flash a peace sign with grins. These are the only people in the scene; the surroundings are open and calm. They hold a relaxed photo pose, bodies settled and steady, gesturing with their hands. Photoreal, natural lighting.	Three young skateboarders — a freckled boy, a Latino boy in a beanie, and a girl with green-dyed hair sitting close together on a low curb on a quiet, empty graffiti-painted street corner, skateboards across their laps. Eye-level long take. Midway through the shot, the three skaters turn to the viewer and flash a peace sign with grins. These are the only people in the scene; the surroundings are open and calm. They hold a relaxed photo pose, bodies settled and steady, gesturing with their hands. Photoreal, natural lighting.	3	human	person
street_skaters_trio	dolly	Three young skateboarders — a freckled boy, a Latino boy in a beanie, and a girl with green-dyed hair sitting close together on a low curb on a quiet, empty graffiti-painted street corner, skateboards across their laps. Eye-level long take with a forward dolly, advancing through the scene toward the subject. Midway through the shot, the three skaters turn to the viewer and flash a peace sign with grins. These are the only people in the scene; the surroundings are open and calm. They hold a relaxed photo pose, bodies settled and steady, gesturing with their hands. Photoreal, natural lighting.	Three young skateboarders — a freckled boy, a Latino boy in a beanie, and a girl with green-dyed hair sitting close together on a low curb on a quiet, empty graffiti-painted street corner, skateboards across their laps. Eye-level long take. Midway through the shot, the three skaters turn to the viewer and flash a peace sign with grins. These are the only people in the scene; the surroundings are open and calm. They hold a relaxed photo pose, bodies settled and steady, gesturing with their hands. Photoreal, natural lighting.	3	human	person
